id,nom,ville,arrondissement,quartier,type_batiment,latitude,longitude,telephone,nb_urnes,accessibilite_pmr,inscrits_2017,votants_2017,bulletins_nuls_2017,SVE_2017,taux_participation_2017,RDPC_votes_2017,CDP_votes_2017,EPG_votes_2017,SAJ_votes_2017,ESA_votes_2017,autres_votes_2017,inscrits_2018,votants_2018,bulletins_nuls_2018,SVE_2018,taux_participation_2018,RDPC_votes_2018,CDP_votes_2018,EPG_votes_2018,SAJ_votes_2018,ESA_votes_2018,autres_votes_2018,inscrits_2019,votants_2019,bulletins_nuls_2019,SVE_2019,taux_participation_2019,RDPC_votes_2019,CDP_votes_2019,EPG_votes_2019,SAJ_votes_2019,ESA_votes_2019,autres_votes_2019
BV-DOU-0001,Bureau de Vote Bepanda N°4,Douala,Douala V,Bepanda,Collège,4.098485,9.755802,+237 692 356 319,2,Oui,1043,617,22,595,0.592,293,55,69,32,55,91,1043,522,17,505,0.501,403,21,5,24,21,31,1043,321,11,310,0.308,247,10,9,6,19,19
BV-DOU-0002,Bureau de Vote Nyalla Extension N°6,Douala,Douala VI,Nyalla Extension,Centre culturel,4.107451,9.721325,+237 222 939 150,3,Oui,979,628,19,609,0.642,298,40,63,76,39,93,979,495,15,480,0.506,228,47,70,48,11,76,979,252,3,249,0.258,190,24,5,10,2,18
BV-DOU-0003,Centre de Vote de Akwa — Salle 1,Douala,Douala II,Akwa,Lycée,4.134429,9.701821,+237 690 060 631,3,Non,901,451,21,430,0.501,279,17,61,20,7,46,901,376,14,362,0.418,176,73,20,29,8,56,901,339,11,328,0.377,209,16,14,23,30,36
BV-DOU-0004,Salle polyvalente Nyalla,Douala,Douala I,Nyalla,Salle polyvalente,4.044796,9.663898,+237 222 908 548,2,Non,924,411,7,404,0.445,195,30,8,49,59,63,924,477,22,455,0.517,232,34,59,47,16,67,924,320,11,309,0.347,219,25,14,21,3,27
BV-DOU-0005,Salle polyvalente de Kotto — Bureau 2,Douala,Douala II,Kotto,Salle polyvalente,4.070369,9.777261,+237 243 838 787,4,Non,840,437,10,427,0.521,264,25,28,28,33,49,840,440,16,424,0.524,209,43,36,46,25,65,840,293,14,279,0.349,194,15,5,18,21,26
BV-DOU-0006,Centre de Vote de Cite SIC — Salle 5,Douala,Douala II,Cite SIC,Centre communautaire,4.099676,9.661979,+237 693 822 421,1,Oui,450,333,12,321,0.741,246,13,20,1,18,23,450,279,13,266,0.621,138,35,9,30,15,39,450,206,8,198,0.459,133,17,13,10,5,20
BV-DOU-0007,Bureau de Vote Douala VI — Koumassi 7,Douala,Douala VI,Koumassi,Collège,4.003003,9.74028,+237 694 101 481,1,Non,775,456,21,435,0.589,210,29,40,48,40,68,775,481,16,465,0.621,217,67,19,11,76,75,775,494,19,475,0.638,310,37,40,25,13,50
BV-DOU-0008,Bureau de Vote Cite SIC N°9,Douala,Douala II,Cite SIC,Centre communautaire,4.084459,9.643702,+237 693 191 331,4,Oui,1109,538,15,523,0.486,389,29,31,5,29,40,1109,757,34,723,0.683,390,89,89,28,27,100,1109,503,13,490,0.454,240,99,33,35,8,75
BV-DOU-0009,Salle polyvalente Sodiko,Douala,Douala V,Sodiko,Salle polyvalente,4.111506,9.69244,+237 693 375 618,2,Non,1116,480,16,464,0.431,361,3,16,20,33,31,1116,511,15,496,0.458,293,35,25,40,42,61,1116,484,5,479,0.434,369,9,15,37,16,33
BV-DOU-0010,Centre culturel de Japoma — Bureau 8,Douala,Douala II,Japoma,Centre culturel,4.112074,9.723852,+237 679 567 358,3,Non,741,540,25,515,0.73,260,34,35,85,24,77,741,375,3,372,0.507,234,24,29,23,20,42,741,429,5,424,0.58,273,14,20,28,43,46
BV-DOU-0011,Centre de Vote de Bassa — Salle 4,Douala,Douala V,Bassa,Salle polyvalente,4.015897,9.650445,+237 233 225 024,4,Oui,953,631,26,605,0.663,431,13,54,17,38,52,953,647,29,618,0.68,376,56,46,17,50,73,953,464,15,449,0.487,246,15,29,56,42,61
BV-DOU-0012,Salle polyvalente Ndog-Bong,Douala,Douala I,Ndog-Bong,Salle polyvalente,4.013887,9.736541,+237 690 654 191,3,Oui,723,538,6,532,0.745,279,77,14,63,23,76,723,417,19,398,0.577,318,5,10,29,12,24,723,372,9,363,0.515,239,25,25,20,17,37
BV-DOU-0013,Bureau de Vote Bonanjo N°13,Douala,Douala V,Bonanjo,Centre communautaire,4.102869,9.70659,+237 242 000 450,3,Oui,498,264,2,262,0.53,156,22,7,26,19,32,498,205,9,196,0.412,119,9,5,12,28,23,498,284,7,277,0.572,152,52,5,26,4,38
BV-DOU-0014,Bibliothèque municipale de Bepanda — Bureau 7,Douala,Douala V,Bepanda,Bibliothèque municipale,4.086591,9.733992,+237 233 987 355,1,Non,275,108,4,104,0.395,54,10,8,3,14,15,275,107,2,105,0.39,82,6,4,1,5,7,275,75,1,74,0.275,46,1,4,5,9,9
BV-DOU-0015,Bibliothèque municipale Ndog-Passi III,Douala,Douala III,Ndog-Passi III,Bibliothèque municipale,4.115533,9.66919,+237 677 099 456,1,Oui,237,105,1,104,0.446,67,10,4,1,11,11,237,152,5,147,0.645,105,3,10,14,2,13,237,132,3,129,0.56,94,6,6,7,5,11
BV-DOU-0016,Centre de Vote de Makepe — Salle 3,Douala,Douala I,Makepe,Salle polyvalente,4.097637,9.746463,+237 677 895 259,3,Oui,169,122,4,118,0.725,88,6,8,4,3,9,169,115,2,113,0.685,74,4,2,14,7,12,169,104,1,103,0.616,77,8,2,3,5,8
