id,nom,ville,arrondissement,quartier,type_batiment,latitude,longitude,telephone,nb_urnes,accessibilite_pmr,inscrits_2017,votants_2017,bulletins_nuls_2017,SVE_2017,taux_participation_2017,RDPC_votes_2017,CDP_votes_2017,EPG_votes_2017,SAJ_votes_2017,ESA_votes_2017,autres_votes_2017,inscrits_2018,votants_2018,bulletins_nuls_2018,SVE_2018,taux_participation_2018,RDPC_votes_2018,CDP_votes_2018,EPG_votes_2018,SAJ_votes_2018,ESA_votes_2018,autres_votes_2018,inscrits_2019,votants_2019,bulletins_nuls_2019,SVE_2019,taux_participation_2019,RDPC_votes_2019,CDP_votes_2019,EPG_votes_2019,SAJ_votes_2019,ESA_votes_2019,autres_votes_2019
BV-YAO-0001,Centre communautaire de Mfandena — Bureau 1,Yaoundé,Yaoundé IV,Mfandena,Centre communautaire,3.934737,11.558223,+237 692 833 942,3,Non,1019,490,6,484,0.481,303,31,26,28,41,55,1019,361,4,357,0.355,200,37,12,42,19,47,1019,660,18,642,0.648,480,25,19,33,36,49
BV-YAO-0002,Lycée Ngoa-Ekélé,Yaoundé,Yaoundé I,Ngoa-Ekélé,Lycée,3.810348,11.603801,+237 679 361 902,4,Non,519,250,10,240,0.482,162,6,11,20,17,24,519,195,8,187,0.377,105,2,28,3,24,25,519,257,7,250,0.496,144,10,28,5,31,32
BV-YAO-0003,Lycée Briqueterie,Yaoundé,Yaoundé VII,Briqueterie,Lycée,3.874384,11.445724,+237 679 050 024,4,Non,409,159,3,156,0.391,122,9,9,4,1,11,409,146,5,141,0.359,101,15,2,5,6,12,409,262,10,252,0.642,138,24,36,11,9,34
BV-YAO-0004,École primaire de Nkoabang — Bureau 1,Yaoundé,Yaoundé II,Nkoabang,École primaire,3.869365,11.445275,+237 690 345 558,4,Non,522,346,4,342,0.664,267,12,16,16,8,23,522,237,10,227,0.455,168,7,11,9,14,18,522,136,3,133,0.261,66,15,8,8,16,20
BV-YAO-0005,Centre communautaire Obili,Yaoundé,Yaoundé III,Obili,Centre communautaire,3.769268,11.543792,+237 233 236 013,1,Non,836,307,7,300,0.367,215,18,13,6,22,26,836,397,11,386,0.476,190,13,32,41,51,59,836,463,19,444,0.554,274,35,39,15,30,51
BV-YAO-0006,Bureau de Vote Mvog-Mbi N°8,Yaoundé,Yaoundé III,Mvog-Mbi,Bibliothèque municipale,3.955912,11.494168,+237 679 072 277,4,Non,777,401,6,395,0.517,278,19,19,23,21,35,777,267,3,264,0.344,185,20,17,15,3,24,777,201,5,196,0.259,148,1,2,13,17,15
BV-YAO-0007,Centre de Vote de Mokolo — Salle 2,Yaoundé,Yaoundé V,Mokolo,Collège,3.826192,11.607646,+237 693 094 549,3,Non,468,224,5,219,0.479,113,18,26,8,22,32,468,208,7,201,0.445,114,24,9,17,11,26,468,132,6,126,0.283,61,21,9,2,13,20
BV-YAO-0008,Centre social de Mfandena — Bureau 2,Yaoundé,Yaoundé IV,Mfandena,Centre social,3.802233,11.451886,+237 695 426 796,2,Oui,899,603,10,593,0.671,414,65,9,18,33,54,899,394,7,387,0.439,233,16,26,39,26,47,899,550,12,538,0.613,402,9,17,53,16,41
BV-YAO-0009,Bibliothèque municipale Ngoa-Ekélé,Yaoundé,Yaoundé IV,Ngoa-Ekélé,Bibliothèque municipale,3.87674,11.427549,+237 678 728 344,1,Non,244,123,3,120,0.506,82,6,5,12,3,12,244,126,5,121,0.52,75,4,7,5,16,14,244,152,4,148,0.625,117,8,1,1,11,10
BV-YAO-0010,Centre de Vote de Mvog-Beti — Salle 2,Yaoundé,Yaoundé VI,Mvog-Beti,Bibliothèque municipale,3.844585,11.541743,+237 677 551 243,1,Non,960,612,17,595,0.638,306,64,35,56,47,87,960,495,12,483,0.516,269,37,23,29,60,65,960,479,15,464,0.499,314,38,3,23,41,45
