id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,capacite_inscriptions,horaires_ouverture,statut
ELECAM-DOU-0001,Point d'Inscription ELECAM Deido,Douala,Douala IV,Deido,4.081907,9.666421,+237 679 865 354,pointdinscri@elecam.cm,4585,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0002,Centre ELECAM de Bonanjo,Douala,Douala V,Bonanjo,3.98323,9.721887,+237 243 727 556,centreelecam@gmail.com,3397,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0003,Centre d'Inscription Électorale de PK10,Douala,Douala VI,PK10,4.034564,9.711552,+237 677 835 711,centredinscr@gmail.com,1083,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0004,Agence ELECAM New Bell 4,Douala,Douala III,New Bell,4.099691,9.783864,+237 690 496 655,agenceelecam@yahoo.fr,1796,Lun–Ven 07h30–14h30,En rénovation
ELECAM-DOU-0005,Point d'Inscription ELECAM Bonaloka,Douala,Douala II,Bonaloka,4.062357,9.641861,+237 242 516 126,pointdinscri@elecam.cm,1916,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0006,Point d'Inscription ELECAM Ndog-Bea,Douala,Douala VI,Ndog-Bea,4.130892,9.692148,+237 222 189 604,pointdinscri@elecam.cm,1506,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0007,Centre d'Inscription Électorale de Ndog-Bong,Douala,Douala VI,Ndog-Bong,4.005151,9.683914,+237 693 646 284,centredinscr@elecam.cm,3190,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0008,Bureau ELECAM Douala III — Japoma,Douala,Douala III,Japoma,4.04203,9.701797,+237 691 975 000,bureauelecam@yahoo.fr,2672,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0009,Centre ELECAM de Bepanda,Douala,Douala I,Bepanda,4.060867,9.763095,+237 233 748 955,centreelecam@yahoo.fr,802,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0010,Point d'Inscription ELECAM Kotto,Douala,Douala I,Kotto,4.070793,9.746533,+237 233 875 327,pointdinscri@elecam.cm,1880,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0011,Centre d'Inscription Électorale de Kotto,Douala,Douala V,Kotto,4.116731,9.696018,+237 690 439 411,centredinscr@gmail.com,1477,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0012,Agence ELECAM Nyalla Extension 12,Douala,Douala I,Nyalla Extension,4.023247,9.696732,+237 242 786 935,agenceelecam@yahoo.fr,1334,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0013,Point d'Inscription ELECAM Makepe,Douala,Douala II,Makepe,4.031813,9.624332,+237 222 651 594,pointdinscri@yahoo.fr,3899,Lun–Ven 08h00–15h30,En rénovation
ELECAM-DOU-0014,Point d'Inscription ELECAM Sodiko,Douala,Douala I,Sodiko,3.998078,9.766819,+237 222 195 124,pointdinscri@gmail.com,4771,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0015,Centre d'Inscription Électorale de Nzeng-Ayong,Douala,Douala V,Nzeng-Ayong,4.006295,9.681614,+237 222 202 342,centredinscr@gmail.com,892,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0016,Centre ELECAM de Ndogpassi,Douala,Douala III,Ndogpassi,4.076117,9.648213,+237 242 436 550,centreelecam@gmail.com,4640,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0017,Point d'Inscription ELECAM Ndoghem,Douala,Douala III,Ndoghem,4.028882,9.628581,+237 692 457 519,pointdinscri@gmail.com,1350,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0018,Point d'Inscription ELECAM Akwa,Douala,Douala VI,Akwa,4.052669,9.717882,+237 694 944 555,pointdinscri@yahoo.fr,643,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0019,Point d'Inscription ELECAM Nzeng-Ayong,Douala,Douala V,Nzeng-Ayong,4.017695,9.745665,+237 679 434 582,pointdinscri@elecam.cm,3357,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0020,Centre d'Inscription Électorale de Ndokoti,Douala,Douala III,Ndokoti,4.010972,9.706429,+237 679 444 308,centredinscr@gmail.com,3371,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0021,Point ELECAM Bali 21,Douala,Douala I,Bali,4.062704,9.748649,+237 690 524 907,pointelecamb@elecam.cm,3017,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0022,Bureau ELECAM Douala II — Nkongmondo,Douala,Douala II,Nkongmondo,4.020781,9.645151,+237 222 956 900,bureauelecam@elecam.cm,1947,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0023,Point d'Inscription ELECAM PK17,Douala,Douala VI,PK17,4.042828,9.693562,+237 243 268 076,pointdinscri@gmail.com,1497,Lun–Ven 07h30–14h30,Temporairement fermé
ELECAM-DOU-0024,Centre d'Inscription Électorale de Bessengue,Douala,Douala II,Bessengue,4.116543,9.709347,+237 677 345 160,centredinscr@elecam.cm,3497,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0025,Point d'Inscription ELECAM Ndog-Bong,Douala,Douala II,Ndog-Bong,4.065384,9.715702,+237 677 977 844,pointdinscri@gmail.com,1129,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0026,Point d'Inscription ELECAM Ndogpassi,Douala,Douala II,Ndogpassi,4.069711,9.644683,+237 692 633 023,pointdinscri@yahoo.fr,3970,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0027,Point d'Inscription ELECAM Bangue,Douala,Douala VI,Bangue,4.043901,9.688499,+237 691 281 030,pointdinscri@yahoo.fr,3812,Lun–Ven 08h00–15h30,En rénovation
ELECAM-DOU-0028,Bureau ELECAM Douala VI — Koumassi,Douala,Douala VI,Koumassi,4.065199,9.751356,+237 233 259 911,bureauelecam@elecam.cm,1470,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0029,Centre ELECAM de Nkongmondo,Douala,Douala II,Nkongmondo,4.08683,9.746034,+237 690 569 039,centreelecam@yahoo.fr,3369,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0030,Point ELECAM Soboum 30,Douala,Douala V,Soboum,4.042472,9.782846,+237 233 329 856,pointelecams@yahoo.fr,3162,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0031,Bureau ELECAM Douala VI — PK8,Douala,Douala VI,PK8,4.047804,9.669418,+237 694 562 177,bureauelecam@elecam.cm,540,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0032,Agence ELECAM PK8 32,Douala,Douala II,PK8,4.049832,9.632397,+237 233 702 427,agenceelecam@gmail.com,529,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0033,Centre ELECAM de Bassa,Douala,Douala IV,Bassa,4.09588,9.728983,+237 693 744 315,centreelecam@gmail.com,1273,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0034,Centre ELECAM de Nyalla Extension,Douala,Douala II,Nyalla Extension,4.030934,9.689893,+237 678 717 227,centreelecam@yahoo.fr,3424,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0035,Bureau ELECAM Douala VI — Makepe,Douala,Douala VI,Makepe,4.083009,9.711636,+237 692 556 825,bureauelecam@yahoo.fr,938,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0036,Bureau ELECAM Douala IV — Village,Douala,Douala IV,Village,4.073486,9.720113,+237 222 110 457,bureauelecam@gmail.com,1727,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0037,Bureau ELECAM Douala III — Mbanya,Douala,Douala III,Mbanya,4.031898,9.642972,+237 233 492 054,bureauelecam@gmail.com,1123,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0038,Agence ELECAM Cité des Palmiers 38,Douala,Douala III,Cité des Palmiers,3.976345,9.665535,+237 679 989 522,agenceelecam@gmail.com,3784,Lun–Ven 08h00–15h30,Temporairement fermé
ELECAM-DOU-0039,Point ELECAM Ndogpassi 39,Douala,Douala II,Ndogpassi,4.066004,9.73536,+237 693 011 555,pointelecamn@yahoo.fr,945,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-DOU-0040,Point d'Inscription ELECAM Soboum,Douala,Douala VI,Soboum,3.973953,9.734456,+237 679 508 409,pointdinscri@elecam.cm,604,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0041,Point d'Inscription ELECAM Bonanjo,Douala,Douala I,Bonanjo,3.966555,9.68835,+237 693 386 390,pointdinscri@gmail.com,506,Lun–Ven 07h30–14h30,Temporairement fermé
ELECAM-DOU-0042,Centre ELECAM de Bangue,Douala,Douala II,Bangue,4.123546,9.751119,+237 222 576 748,centreelecam@gmail.com,4797,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0043,Centre ELECAM de Ndog-Bong,Douala,Douala II,Ndog-Bong,4.07197,9.72527,+237 690 251 118,centreelecam@yahoo.fr,3097,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0044,Bureau ELECAM Douala III — Cite SIC,Douala,Douala III,Cite SIC,4.085689,9.692962,+237 693 857 896,bureauelecam@gmail.com,2113,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0045,Centre d'Inscription Électorale de Ndogbong,Douala,Douala I,Ndogbong,4.034363,9.791694,+237 695 524 964,centredinscr@elecam.cm,1546,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0046,Agence ELECAM Ndogpassi 46,Douala,Douala I,Ndogpassi,4.02276,9.729854,+237 692 998 316,agenceelecam@gmail.com,730,Lun–Sam 07h30–15h00,En rénovation
ELECAM-DOU-0047,Point ELECAM Mboppi 47,Douala,Douala III,Mboppi,4.049256,9.673326,+237 693 340 492,pointelecamm@yahoo.fr,2142,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0048,Point ELECAM Deido 48,Douala,Douala III,Deido,4.042035,9.755159,+237 242 255 180,pointelecamd@gmail.com,3509,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0049,Bureau ELECAM Douala V — Japoma,Douala,Douala V,Japoma,4.071035,9.712866,+237 678 054 184,bureauelecam@elecam.cm,3829,Lun–Ven 07h30–14h30,En rénovation
ELECAM-DOU-0050,Bureau ELECAM Douala VI — Ndog-Bong,Douala,Douala VI,Ndog-Bong,3.994681,9.698426,+237 242 332 612,bureauelecam@gmail.com,4978,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0051,Agence ELECAM Mbanya 51,Douala,Douala II,Mbanya,4.041601,9.792589,+237 679 461 801,agenceelecam@gmail.com,2408,Lun–Sam 08h00–16h00,En rénovation
ELECAM-DOU-0052,Bureau ELECAM Douala VI — Bessengue,Douala,Douala VI,Bessengue,4.1183,9.684965,+237 242 927 814,bureauelecam@gmail.com,1761,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0053,Centre d'Inscription Électorale de PK14,Douala,Douala III,PK14,4.002514,9.688444,+237 679 828 966,centredinscr@elecam.cm,2187,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0054,Agence ELECAM Soboum 54,Douala,Douala I,Soboum,4.023343,9.683443,+237 243 174 549,agenceelecam@gmail.com,2342,Lun–Sam 08h00–16h00,Temporairement fermé
ELECAM-DOU-0055,Point ELECAM Ndog-Bea 55,Douala,Douala VI,Ndog-Bea,4.015859,9.675697,+237 694 746 178,pointelecamn@elecam.cm,1065,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0056,Point d'Inscription ELECAM Ndogbong,Douala,Douala III,Ndogbong,4.021203,9.635131,+237 242 015 965,pointdinscri@yahoo.fr,759,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-DOU-0057,Centre d'Inscription Électorale de Bassa,Douala,Douala II,Bassa,4.00816,9.735803,+237 677 883 715,centredinscr@yahoo.fr,3836,Lun–Sam 07h30–15h00,En rénovation
ELECAM-DOU-0058,Bureau ELECAM Douala V — Ndog-Bea,Douala,Douala V,Ndog-Bea,4.037416,9.693915,+237 678 105 176,bureauelecam@gmail.com,4943,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0059,Point ELECAM Makepe 59,Douala,Douala III,Makepe,4.1046,9.754817,+237 695 114 422,pointelecamm@yahoo.fr,1819,Lun–Sam 07h30–15h00,Temporairement fermé
ELECAM-DOU-0060,Point d'Inscription ELECAM Village,Douala,Douala IV,Village,4.043002,9.653621,+237 243 786 045,pointdinscri@elecam.cm,1821,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-DOU-0061,Point ELECAM Mbanya 61,Douala,Douala II,Mbanya,4.000815,9.698065,+237 693 009 978,pointelecamm@yahoo.fr,3375,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-DOU-0062,Bureau ELECAM Douala VI — Cité des Palmiers,Douala,Douala VI,Cité des Palmiers,4.052073,9.73407,+237 692 907 492,bureauelecam@elecam.cm,1373,Lun–Ven 08h00–15h30,Opérationnel
