id,nom,ville,arrondissement,quartier,latitude,longitude,telephone,email,capacite_inscriptions,horaires_ouverture,statut
ELECAM-YAO-0001,Centre ELECAM de Essos,Yaoundé,Yaoundé III,Essos,3.907925,11.53866,+237 222 688 550,centreelecam@elecam.cm,1606,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0002,Centre ELECAM de Nkozoa,Yaoundé,Yaoundé II,Nkozoa,3.901986,11.591805,+237 692 610 571,centreelecam@elecam.cm,1259,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-YAO-0003,Bureau ELECAM Yaoundé III — Nlongkak,Yaoundé,Yaoundé III,Nlongkak,3.91865,11.457977,+237 690 045 873,bureauelecam@yahoo.fr,4817,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0004,Agence ELECAM Mfandena 4,Yaoundé,Yaoundé VI,Mfandena,3.757262,11.494814,+237 690 865 802,agenceelecam@yahoo.fr,1176,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-YAO-0005,Centre ELECAM de Kondengui,Yaoundé,Yaoundé III,Kondengui,3.812268,11.560893,+237 694 769 503,centreelecam@yahoo.fr,1222,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0006,Centre ELECAM de Nkolbisson,Yaoundé,Yaoundé II,Nkolbisson,3.783406,11.545573,+237 693 473 872,centreelecam@elecam.cm,4894,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-YAO-0007,Centre ELECAM de Mvog-Ada,Yaoundé,Yaoundé I,Mvog-Ada,3.922157,11.506837,+237 677 546 601,centreelecam@yahoo.fr,1012,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0008,Centre d'Inscription Électorale de Mvan,Yaoundé,Yaoundé IV,Mvan,3.926461,11.443174,+237 233 860 547,centredinscr@elecam.cm,3242,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-YAO-0009,Centre d'Inscription Électorale de Ahala,Yaoundé,Yaoundé VI,Ahala,3.949546,11.482521,+237 233 253 108,centredinscr@gmail.com,4903,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0010,Centre d'Inscription Électorale de Olembe,Yaoundé,Yaoundé VII,Olembe,3.931667,11.453202,+237 678 285 812,centredinscr@yahoo.fr,3664,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-YAO-0011,Centre d'Inscription Électorale de Messa,Yaoundé,Yaoundé IV,Messa,3.816115,11.445419,+237 677 602 858,centredinscr@yahoo.fr,1625,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0012,Bureau ELECAM Yaoundé VI — Briqueterie,Yaoundé,Yaoundé VI,Briqueterie,3.777302,11.578339,+237 233 483 354,bureauelecam@gmail.com,852,Lun–Ven 08h00–15h30,Temporairement fermé
ELECAM-YAO-0013,Centre ELECAM de Melen,Yaoundé,Yaoundé II,Melen,3.853292,11.398399,+237 243 493 195,centreelecam@elecam.cm,3294,Lun–Sam 07h30–15h00,Temporairement fermé
ELECAM-YAO-0014,Centre d'Inscription Électorale de Briqueterie,Yaoundé,Yaoundé II,Briqueterie,3.8652,11.427534,+237 695 049 756,centredinscr@elecam.cm,4606,Lun–Sam 07h30–15h00,Opérationnel
ELECAM-YAO-0015,Centre d'Inscription Électorale de Bastos,Yaoundé,Yaoundé VII,Bastos,3.869626,11.419015,+237 678 910 575,centredinscr@yahoo.fr,3946,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0016,Point d'Inscription ELECAM Mfandena,Yaoundé,Yaoundé IV,Mfandena,3.795302,11.581742,+237 679 066 842,pointdinscri@yahoo.fr,3583,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0017,Agence ELECAM Mvog-Atangana 17,Yaoundé,Yaoundé I,Mvog-Atangana,3.913385,11.459568,+237 678 060 964,agenceelecam@elecam.cm,4313,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0018,Bureau ELECAM Yaoundé III — Efoulan,Yaoundé,Yaoundé III,Efoulan,3.892588,11.432663,+237 243 789 450,bureauelecam@elecam.cm,1510,Lun–Ven 08h00–15h30,Opérationnel
ELECAM-YAO-0019,Centre d'Inscription Électorale de Émana,Yaoundé,Yaoundé VI,Émana,3.902383,11.561407,+237 691 255 390,centredinscr@gmail.com,4629,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0020,Centre ELECAM de Bastos,Yaoundé,Yaoundé III,Bastos,3.841372,11.450045,+237 677 426 560,centreelecam@yahoo.fr,606,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-YAO-0021,Agence ELECAM Elig-Essono 21,Yaoundé,Yaoundé I,Elig-Essono,3.842538,11.546574,+237 243 477 348,agenceelecam@elecam.cm,1345,Lun–Sam 08h00–16h00,Opérationnel
ELECAM-YAO-0022,Centre ELECAM de Mokolo,Yaoundé,Yaoundé III,Mokolo,3.875999,11.427826,+237 693 667 109,centreelecam@gmail.com,4071,Lun–Ven 07h30–14h30,Opérationnel
ELECAM-YAO-0023,Centre ELECAM de Messa,Yaoundé,Yaoundé II,Messa,3.946263,11.455567,+237 243 316 006,centreelecam@yahoo.fr,3137,Lun–Ven 08h00–15h30,Opérationnel
